Host,phylumH,classH,orderH,familyH,genusH,YearH,Parasite,phylumP,classP,orderP,familyP,genusP,YearP
Mustelus californicus,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,1864,Orygmatobothrium musteli,Platyhelminthes,Cestoda,Phyllobothriidea,Phyllobothriidae,Paraorygmatobothrium,1850
Nebrius ferrugineus,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Nebrius,1831,Pedibothrium cabrali,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,2004
Nebrius ferrugineus,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Nebrius,1831,Pedibothrium kistnerae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,2004
Nebrius ferrugineus,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Nebrius,1831,Pedibothrium lloydae,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,2004
Nebrius ferrugineus,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Nebrius,1831,Pedibothrium mounseyi,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,2004
Nebrius ferrugineus,Chordata,Elasmobranchii,Orectolobiformes,Ginglymostomatidae,Nebrius,1831,Pedibothrium puerobesus,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Pedibothrium,2004
Hemiscyllium ocellatum,Chordata,Elasmobranchii,Orectolobiformes,Hemiscylliidae,Hemiscyllium,1788,Anteropora leelongi,Platyhelminthes,Cestoda,Lecanicephalidea,Polypocephalidae,Anteropora,2005
Himantura undulata,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Himantura,1852,Tetragonocephalum passeyi,Platyhelminthes,Cestoda,Lecanicephalidea,Tetragonocephalidae,Tetragonocephalum,2005
Bathyraja richardsoni,Chordata,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,1961,Onchobothrium magnum,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Onchobothrium,1977
Rhinoptera bonasus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,1815,Duplicibothrium minutum,Platyhelminthes,Cestoda,Tetraphyllidea,Serendipidae,Duplicibothrium,1978
Rhinoptera bonasus,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Rhinoptera,1815,Glyphobothrium zwerneri,Platyhelminthes,Cestoda,Tetraphyllidea,Serendipidae,Glyphobothrium,1977
Cetorhinus maximus,Chordata,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,1765,Gastrolecithus planus,Platyhelminthes,Cestoda,Tetraphyllidea,Gastrolecithidae,Gastrolecithus,1922
Malacoraja senta,Chordata,Elasmobranchii,Rajiformes,Rajidae,Malacoraja,1885,Zyxibothrium kamienae,Platyhelminthes,Cestoda,Phyllobothriidea,Phyllobothriidae,Zyxibothrium,1981
Rhynchobatus djiddensis,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhynchobatus,1775,Prochristianella clarkeae,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Prochristianella,1990
Rhynchobatus djiddensis,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhynchobatus,1775,Parachristianella baverstocki,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Parachristianella,1990
Himantura undulata,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Himantura,1852,Parachristianella baverstocki,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Parachristianella,1990
Rhynchobatus djiddensis,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhynchobatus,1775,Proemotobothrium linstowi,Platyhelminthes,Cestoda,Trypanorhyncha,Otobothriidae,Proemotobothrium,1912
Rhina ancylostoma,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Rhina,1801,Halysiorhynchus macrocephalus,Platyhelminthes,Cestoda,Trypanorhyncha,Mixodigmatidae,Halysiorhynchus,1906
Himantura draco,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Himantura,1984,Parachristianella monomegacantha,Platyhelminthes,Cestoda,Trypanorhyncha,Eutetrarhynchidae,Parachristianella,1959
Carcharhinus amboinensis,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,1839,Callitetrarhynchus gracilis,Platyhelminthes,Cestoda,Trypanorhyncha,Lacistorhynchidae,Callitetrarhynchus,1819
