papers,host,parasite,index
"PALM, H.W. (2004) [16112] (used parasite: Tetrarhynchobothrium setiense )",Myliobatis aquila,Tetrarhynchobothrium striatum,16112
"PALM, H.W. (2004) [16112]",Myliobatis aquila,Tetrarhynchobothrium striatum,16112
"BEVERIDGE, I. (2008) [7412]",Myliobatis aquila,Tetrarhynchobothrium striatum,7412
"EUZET, L. (1955) [16308]",Myliobatis aquila,Tetrarhynchobothrium tenuicolle,16308
"RAIBAUT, A. et.al. (1998) [16609] (used parasite: Eudactylina complexa )",Myliobatis aquila,Eudactylina acuta,16609
"RAIBAUT, A. et.al. (1998) [16609]",Myliobatis aquila,Lernaeopoda galei,16609
"RAIBAUT, A. et.al. (1998) [16609]",Myliobatis aquila,Pseudocharopinus malleus,16609
"BOLOGNINI, L. et.al. (2017) [24406]",Myliobatis aquila,Pontobdella muricata,24406
"OLSON, A.C. et.al. (1983) [16914]",Myliobatis californica,Dendromonocotyle californica,16914
"CHISHOLM, L.A. et.al. (1995) [17437]",Myliobatis californica,Dendromonocotyle californica,17437
"CHISHOLM, L.A. et.al. (2004) [9445]",Myliobatis californica,Dendromonocotyle californica,9445
"SPROSTON, N.G. (1946) [17150] (used parasite: Benedenia pacifica | used host: Aetobatus californicus)",Myliobatis californica,Pseudoentobdella pacifica,17150
"PRICE, E.W. (1938) [17134]",Myliobatis californica,Udonella caligorum,17134
"SPROSTON, N.G. (1946) [17150] ( used host: Aetobatus californicus)",Myliobatis californica,Udonella caligorum,17150
"JENSEN, K. (2001) [7588]",Myliobatis californica,Aberrapex senticosus,7588
"JENSEN, K. (2005) [16338]",Myliobatis californica,Aberrapex senticosus,16338
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Aberrapex senticosus,23771
"ALEXANDER, C.G. (1953) [16173] ( used host: Holorhinus californicus)",Myliobatis californica,Acanthobothrium holorhini,16173
"GOLDSTEIN, R.J. (1967) [16175]",Myliobatis californica,Acanthobothrium holorhini,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium holorhini,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium holorhini,28741
"WILLIAMS, H.H. (1969) [16448] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium macracanthum,16448
"RISER, N.W. (1955) [16383] ( used host: Aetobatus californicus)",Myliobatis californica,Acanthobothrium maculatum,16383
"GOLDSTEIN, R.J. (1967) [16175]",Myliobatis californica,Acanthobothrium maculatum,16175
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium maculatum,28741
"ALEXANDER, C.G. (1953) [16173] ( used host: Holorhinus californicus)",Myliobatis californica,Acanthobothrium microcephalum,16173
"GOLDSTEIN, R.J. (1967) [16175]",Myliobatis californica,Acanthobothrium microcephalum,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium microcephalum,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium microcephalum,28741
"DAILEY, M.D. et.al. (1968) [16176]",Myliobatis californica,Acanthobothrium myliobatidis,16176
"ALEXANDER, C.G. (1953) [16173] ( used host: Holorhinus californicus)",Myliobatis californica,Acanthobothrium unilateralis,16173
"GOLDSTEIN, R.J. (1967) [16175]",Myliobatis californica,Acanthobothrium unilateralis,16175
"WILLIAMS, H.H. (1969) [16448] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium unilateralis,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741] ( used host: Myliobatis californicus)",Myliobatis californica,Acanthobothrium unilateralis,28741
"RISER, N.W. (1955) [16383] ( used host: Aetobatus californicus)",Myliobatis californica,Caulobothrium opisthorchis,16383
"HEALY, C.J. et.al. (2009) [16908]",Myliobatis californica,Caulobothrium opisthorchis,16908
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Caulobothrium opisthorchis,23771
"CAIRA, J.N. et.al. (1999) [16929]",Myliobatis californica,Caulobothrium sp,16929
"HEALY, C.J. et.al. (2009) [16908]",Myliobatis californica,Caulobothrium sp,16908
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Caulobothrium sp,23771
"RISER, N.W. (1955) [16383] ( used host: Aetobatus californicus)",Myliobatis californica,Caulobothrium tetrascaphium,16383
"PALM, H.W. (2004) [16112]",Myliobatis californica,Dollfusiella sp,16112
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Echeneibothrium sp,23771
"TYLER, G.A. et.al. (1999) [7627] (used parasite: Echinobothrium fautleyae )",Myliobatis californica,Halysioncum fautleyae,7627
"CAIRA, J.N. et.al. (2013) [19536]",Myliobatis californica,Halysioncum fautleyae,19536
"IVAN MERLO-SERNA, A. et.al. (2016) [23771] (used parasite: Echinobothrium fautleyae )",Myliobatis californica,Halysioncum fautleyae,23771
"TYLER, G.A. et.al. (1999) [7627] (used parasite: Echinobothrium mexicanum )",Myliobatis californica,Halysioncum mexicanum,7627
"TYLER, G.A. (2006) [16430] (used parasite: Echinobothrium mexicanum )",Myliobatis californica,Halysioncum mexicanum,16430
"CAIRA, J.N. et.al. (2013) [19536]",Myliobatis californica,Halysioncum mexicanum,19536
"IVAN MERLO-SERNA, A. et.al. (2016) [23771] (used parasite: Echinobothrium mexicanum )",Myliobatis californica,Halysioncum mexicanum,23771
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Hemionchos striatus,23771
"HEINZ, M.L. et.al. (1974) [16323]",Myliobatis californica,Mecistobothrium myliobati,16323
"PALM, H.W. (2004) [16112]",Myliobatis californica,Mecistobothrium myliobati,16112
"PALM, H.W. (2004) [16112]",Myliobatis californica,Parachristianella sp,16112
"PALM, H.W. (2004) [16112]",Myliobatis californica,Prochristianella sp,16112
"RISER, N.W. (1955) [16383] (used parasite: Inermiphyllidium brachyascum | used host: Aetobatus californicus)",Myliobatis californica,Rhodobothrium brachyascum,16383
"CAMPBELL, R.A. et.al. (1979) [16284] ( used host: Aetobatus californicus)",Myliobatis californica,Rhodobothrium brachyascum,16284
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Anaporrhutum euzeti,23771
"CURRAN, S.S. et.al. (2009) [16108]",Myliobatis californica,Probolitrema richiardii,16108
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Probolitrema richiardii,23771
"MILLEMANN, R.E. (1963) [23394] ( used host: Myliobatis californicus)",Myliobatis californica,Echinocephalus pseudouncinatus,23394
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis californica,Echinocephalus pseudouncinatus,23771
"DEETS, G.B. (1994) [17867]",Myliobatis californica,Eudactylina nykterimyzon,17867
"DEETS, G.B. et.al. (1989) [14624]",Myliobatis californica,Trebius latifurcatus,14624
"CARVAJAL, J.G. et.al. (1980) [16287]",Myliobatis chilensis,Acanthobothrium batailloni,16287
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis chilensis,Acanthobothrium batailloni,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Myliobatis chilensis,Acanthobothrium batailloni,28741
"CARVAJAL, J.G. et.al. (1980) [16287]",Myliobatis chilensis,Acanthobothrium coquimbensis,16287
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis chilensis,Acanthobothrium coquimbensis,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Myliobatis chilensis,Acanthobothrium coquimbensis,28741
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis chilensis,Acanthobothrium holorhini,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Myliobatis chilensis,Acanthobothrium holorhini,28741
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis chilensis,Acanthobothrium sp,25154
"CARVAJAL, J. (1977) [16190]",Myliobatis chilensis,Caulobothrium myliobatidis,16190
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis chilensis,Caulobothrium myliobatidis,25154
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis chilensis,Phyllobothrium auricula,25154
"CAMPBELL, R.A. et.al. (1979) [16284]",Myliobatis chilensis,Rhodobothrium mesodesmatum,16284
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis chilensis,Rhodobothrium mesodesmatum,25154
"ROMERO, R.C. et.al. (1991) [17874]",Myliobatis chilensis,Eudactylina indivisa,17874
"LUQUE, J.L. et.al. (1991) [17873]",Myliobatis chilensis,Eudactylina myliobatidos,17873
"DEETS, G.B. (1994) [17867]",Myliobatis chilensis,Eudactylina myliobatidos,17867
"ROMERO, R.C. et.al. (1987) [23666]",Myliobatis chilensis,Pseudocharopinoides myliobatidos,23666
"LUQUE, J.L. et.al. (1991) [17873]",Myliobatis chilensis,Pseudocharopinoides myliobatidos,17873
"LUQUE, J.L. et.al. (1991) [17873]",Myliobatis chilensis,Pseudocharopinus narcinae,17873
"LUQUE, J.L. et.al. (1991) [17873]",Myliobatis chilensis,Trebius latifurcatus,17873
"HADFIELD, C.A. et.al. (2014) [22052]",Myliobatis freminvillei,Kudoa sp,22052
"PRICE, E.W. (1938) [17134] (used parasite: Heterocotyle floridana | used host: Aetobatus freminvilli)",Myliobatis freminvillei,Decacotyle floridana,17134
"SPROSTON, N.G. (1946) [17150] (used parasite: Heterocotyle floridana | used host: Aetobatus freminvilli)",Myliobatis freminvillei,Decacotyle floridana,17150
"YOUNG, P.C. (1967) [17104] (used parasite: Papillicotyle floridana | used host: Aetobatus freminvilli)",Myliobatis freminvillei,Decacotyle floridana,17104
"CHISHOLM, L.A. et.al. (1998) [17440] ( used host: Aetobatus freminvilli)",Myliobatis freminvillei,Decacotyle floridana,17440
"WILLIAMS, H.H. (1969) [16448]",Myliobatis freminvillei,Acanthobothrium paulum,16448
"BAER, J.G. (1948) [16247]",Myliobatis freminvillei,Caulobothrium longicolle,16247
"PALM, H.W. (2004) [16112]",Myliobatis freminvillei,Nybelinia sp,16112
"PALM, H.W. (2004) [16112]",Myliobatis freminvillei,Tetrarhynchobothrium unionifactor,16112
"SAWYER, R.T. et.al. (1975) [25687]",Myliobatis freminvillei,Branchellion torpedinis,25687
"LISNEROVÁ, M. et.al. (2020) [28169]",Myliobatis goodei,Ceratomyxa sp,28169
"IRIGOITIA, M.M. et.al. (2019) [27765]",Myliobatis goodei,Empruthotrema dorae,27765
"BROOKS, D.R. et.al. (1981) [16267] (used parasite: Discobothrium arrhynchum )",Myliobatis goodei,Aberrapex arrhynchum,16267
"JENSEN, K. (2001) [7588]",Myliobatis goodei,Aberrapex arrhynchum,7588
"JENSEN, K. (2005) [16338]",Myliobatis goodei,Aberrapex arrhynchum,16338
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Aberrapex arrhynchum,25154
"MENORET, A. et.al. (2017) [25322]",Myliobatis goodei,Aberrapex ludmilae,25322
"MENORET, A. et.al. (2017) [25322]",Myliobatis goodei,Aberrapex sanmartini,25322
"BROOKS, D.R. et.al. (1981) [16267]",Myliobatis goodei,Acanthobothrium sp,16267
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Acanthobothrium sp,25154
"BROOKS, D.R. et.al. (1981) [16267]",Myliobatis goodei,Caulobothrium ostrowskiae,16267
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Caulobothrium ostrowskiae,25154
"BROOKS, D.R. et.al. (1981) [16267]",Myliobatis goodei,Caulobothrium uruguayensis,16267
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Caulobothrium uruguayensis,25154
"IVANOV, V.A. et.al. (1998) [15941] (used parasite: Echinobothrium megacanthum )",Myliobatis goodei,Halysioncum megacanthum,15941
"TYLER, G.A. (2006) [16430] (used parasite: Echinobothrium megacanthum )",Myliobatis goodei,Halysioncum megacanthum,16430
"CAIRA, J.N. et.al. (2013) [19536]",Myliobatis goodei,Halysioncum megacanthum,19536
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Halysioncum megacanthum,25154
"MENORET, A. et.al. (2015) [23434]",Myliobatis goodei,Mecistobothrium oblongum,23434
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Mecistobothrium oblongum,25154
"MENORET, A. et.al. (2014) [21810]",Myliobatis goodei,Parachristianella damiani,21810
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Parachristianella damiani,25154
"BROOKS, D.R. et.al. (1981) [16267]",Myliobatis goodei,Phyllobothrium myliobatidis,16267
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Phyllobothrium myliobatidis,25154
"BROOKS, D.R. et.al. (1981) [16267]",Myliobatis goodei,Phyllobothrium sp,16267
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis goodei,Phyllobothrium sp,25154
"PALM, H.W. (2004) [16112]",Myliobatis hamlyni,Paroncomegas myliobati,16112
"CAIRA, J.N. et.al. (2013) [19536]",Myliobatis longirostris,Halysioncum fautleyae,19536
"TYLER, G.A. et.al. (1999) [7627] (used parasite: Echinobothrium mexicanum )",Myliobatis longirostris,Halysioncum mexicanum,7627
"TYLER, G.A. (2006) [16430] (used parasite: Echinobothrium mexicanum )",Myliobatis longirostris,Halysioncum mexicanum,16430
"IVAN MERLO-SERNA, A. et.al. (2016) [23771] (used parasite: Echinobothrium mexicanum )",Myliobatis longirostris,Halysioncum mexicanum,23771
"CAMPBELL, R.A. et.al. (2006) [10844]",Myliobatis longirostris,Pseudochristianella nudiscula,10844
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis longirostris,Pseudochristianella nudiscula,23771
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis longirostris,Anaporrhutum euzeti,23771
"CURRAN, S.S. et.al. (2009) [16108]",Myliobatis longirostris,Probolitrema richiardii,16108
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Myliobatis longirostris,Probolitrema richiardii,23771
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis peruvianus,Acanthobothrium brevissime,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Myliobatis peruvianus,Acanthobothrium brevissime,28741
"SEVERINO, R.L. et.al. (1979) [25158]",Myliobatis peruvianus,Acanthobothrium gonzalesmugaburoi,25158
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis peruvianus,Acanthobothrium gonzalesmugaburoi,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Myliobatis peruvianus,Acanthobothrium gonzalesmugaburoi,28741
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis peruvianus,Phyllobothrium auricula,25154
"ALVES, P.V. et.al. (2017) [25154]",Myliobatis peruvianus,Rhodobothrium mesodesmatum,25154
"DEETS, G.B. (1994) [17867]",Myliobatis peruvianus,Eudactylina indivisa,17867
"LISNEROVÁ, M. et.al. (2020) [28169]",Myliobatis ridens,Ceratomyxa sp,28169
"IRIGOITIA, M.M. et.al. (2019) [27765]",Myliobatis ridens,Empruthotrema dorae,27765
"MENORET, A. et.al. (2017) [25322]",Myliobatis ridens,Aberrapex vitalemuttiorum,25322
"GLEESON, R.J. et.al. (2012) [15542] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Chloromyxum myliobati,15542
"CHISHOLM, L.A. et.al. (2005) [24084] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Dendromonocotyle bradsmithi,24084
"CHISHOLM, L.A. et.al. (1999) [17002] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Empruthotrema tasmaniensis,17002
"CHISHOLM, L.A. et.al. (2000) [9434] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Heliocotyle ewingi,9434
"CHISHOLM, L.A. (1998) [17001] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Monocotyle jordani,17001
"CAMPBELL, R.A. et.al. (2002) [16128] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Acanthobothrium martini,16128
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Myliobatis tenuicaudatus,Acanthobothrium martini,28741
"CAMPBELL, R.A. et.al. (2002) [16128] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Acanthobothrium pichelinae,16128
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Myliobatis tenuicaudatus,Acanthobothrium pichelinae,28741
"BEVERIDGE, I. (1990) [16252] (used parasite: Eutetrarhynchus bareldsi | used host: Myliobatis australis)",Myliobatis tenuicaudatus,Dollfusiella bareldsi,16252
"PALM, H.W. (2004) [16112] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Dollfusiella bareldsi,16112
"BEVERIDGE, I. (1990) [16252] (used parasite: Eutetrarhynchus martini | used host: Myliobatis australis)",Myliobatis tenuicaudatus,Dollfusiella martini,16252
"PALM, H.W. (2004) [16112] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Dollfusiella martini,16112
"BEVERIDGE, I. (1990) [16252] (used parasite: Eutetrarhynchus ocallaghani | used host: Myliobatis australis)",Myliobatis tenuicaudatus,Dollfusiella ocallaghani,16252
"PALM, H.W. (2004) [16112] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Dollfusiella ocallaghani,16112
"SCHAEFFNER, B.C. et.al. (2013) [17826] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Otobothrium australe,17826
"BEVERIDGE, I. (1990) [16252] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Parachristianella monomegacantha,16252
"PALM, H.W. (2004) [16112] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Parachristianella monomegacantha,16112
"COLEMAN, G.M. et.al. (2019) [27352]",Myliobatis tenuicaudatus,Rhabdotobothrium meridionale,27352
"COLEMAN, G.M. et.al. (2019) [26943]",Myliobatis tenuicaudatus,Rhinebothrium bunburyense,26943
"BEVERIDGE, I. et.al. (1988) [16255] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Tetrarhynchobothrium australe,16255
"PALM, H.W. (2004) [16112] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Tetrarhynchobothrium australe,16112
"ROBINSON, E.S. (1959) [16384] (used parasite: Prochristianella aetobatis | used host: Aetobatis tenuicaudatus)",Myliobatis tenuicaudatus,Trimacracanthus aetobatidis,16384
"HEWITT, G.C. et.al. (1972) [16602] (used parasite: Prochristianella aetobatis | used host: Aetobatis tenuicaudatus)",Myliobatis tenuicaudatus,Trimacracanthus aetobatidis,16602
"BEVERIDGE, I. (1990) [16252]",Myliobatis tenuicaudatus,Trimacracanthus aetobatidis,16252
"BEVERIDGE, I. (1990) [16252] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Trimacracanthus aetobatidis,16252
"PALM, H.W. (2004) [16112]",Myliobatis tenuicaudatus,Trimacracanthus aetobatidis,16112
"PALM, H.W. (2004) [16112] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Trimacracanthus aetobatidis,16112
"SCHAEFFNER, B.C. et.al. (2012) [17404] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Trimacracanthus aetobatidis,17404
"BEVERIDGE, I. (1991) [21500] ( used host: Myliobatis australis)",Myliobatis tenuicaudatus,Echinocephalus overstreeti,21500
"KITAMURA, A. et.al. (2019) [27164]",Myliobatis tobijei,Dendromonocotyle tsutsumii,27164
"YAMAGUTI, S. (1934) [16458] (used parasite: Echeneibothrium tobijei )",Myliobatis tobijei,Caulobothrium tobijei,16458
"BAER, J.G. (1948) [16247]",Myliobatis tobijei,Caulobothrium tobijei,16247
"YAMAGUTI, S. (1952) [16129] (used parasite: Echeneibothrium tobijei )",Myliobatis tobijei,Caulobothrium tobijei,16129
"LI, L. et.al. (2012) [15762]",Myliobatis tobijei,Mawsonascaris myliobatum,15762
"PENG, W.-F. et.al. (2011) [21235]",Myliobatis tobijei,Raphidascaroides myliobatum,21235
"PALM, H.W. (2004) [16112]",Narcine bancroftii,Pterobothrium heteracanthum,16112
"WARREN, M.B. et.al. (2019) [28146]",Narcine bancroftii,Electrovermis zappum,28146
"BROOKS, D.R. et.al. (1978) [16192]",Narcine brasiliensis,Acanthobothrium electricolum,16192
"MAYES, M.A. et.al. (1981) [16356]",Narcine brasiliensis,Acanthobothrium electricolum,16356
"ALVES, P.V. et.al. (2017) [25154]",Narcine brasiliensis,Acanthobothrium electricolum,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narcine brasiliensis,Acanthobothrium electricolum,28741
"SUBHAPRADHA, C.K. (1955) [16423] ( used host: Narcine braunii)",Narcine brasiliensis,Acanthobothrium indicum,16423
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narcine brasiliensis,Acanthobothrium indicum,28741
"GOLDSTEIN, R.J. et.al. (1968) [16318]",Narcine brasiliensis,Acanthobothrium lintoni,16318
"BROOKS, D.R. et.al. (1978) [16192]",Narcine brasiliensis,Acanthobothrium lintoni,16192
"ALVES, P.V. et.al. (2017) [25154]",Narcine brasiliensis,Acanthobothrium lintoni,25154
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narcine brasiliensis,Acanthobothrium lintoni,28741
"SAWYER, R.T. et.al. (1975) [25687]",Narcine brasiliensis,Branchellion ravenelii,25687
"SAWYER, R.T. et.al. (1975) [17101]",Narcine brasiliensis,Branchellion ravenelii,17101
"SUBHAPRADHA, C.K. (1955) [16423]",Narcine brunnea,Acanthobothrium indicum,16423
"GOLDSTEIN, R.J. (1967) [16175]",Narcine brunnea,Acanthobothrium indicum,16175
"WILLIAMS, H.H. (1969) [16448]",Narcine brunnea,Acanthobothrium indicum,16448
"TORRES-CARRERA, G. et.al. (2020) [28242]",Narcine entemedor,Narcinecotyle longifilamentus,28242
"MARQUES, F. et.al. (1997) [7626]",Narcine entemedor,Acanthobothrium franus,7626
"RODRIGUEZ-ORTIZ, B. et.al. (2004) [16969]",Narcine entemedor,Acanthobothrium franus,16969
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narcine entemedor,Acanthobothrium franus,28741
"MARQUES, F. et.al. (1997) [7626]",Narcine entemedor,Acanthobothrium inbiorium,7626
"RODRIGUEZ-ORTIZ, B. et.al. (2004) [16969]",Narcine entemedor,Acanthobothrium inbiorium,16969
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narcine entemedor,Acanthobothrium inbiorium,28741
"ZARAGOZA-TAPIA, F. et.al. (2019) [27430]",Narcine entemedor,Acanthobothrium soniae,27430
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narcine entemedor,Acanthobothrium soniae,28741
"ZARAGOZA-TAPIA, F. et.al. (2019) [27430]",Narcine entemedor,Acanthobothrium vidali,27430
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narcine entemedor,Acanthobothrium vidali,28741
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Narcine entemedor,Anaporrhutum euzeti,23771
"CURRAN, S.S. et.al. (2009) [16108]",Narcine entemedor,Nagmia rodmani,16108
"IVAN MERLO-SERNA, A. et.al. (2016) [23771]",Narcine entemedor,Nagmia rodmani,23771
"BRASWELL, J.S. et.al. (2002) [7619]",Narcine entemedor,Taeniacanthodes dojirii,7619
"RUIZ-ESCOBAR, F. et.al. (2019) [27487]",Narcine entemedor,Branchellion spindolaorum,27487
"BAYLIS, H.A. et.al. (1933) [19885] ( used host: Raja maculata)",Narcine maculata,Acanthocotyle sp,19885
"BAYLIS, H.A. et.al. (1933) [19885] ( used host: Raja maculata)",Narcine maculata,Calicotyle kroyeri,19885
"LLEWELLYN, J. et.al. (1957) [23943] ( used host: Raja maculata)",Narcine maculata,Dictyocotyle coeliaca,23943
"SOUTHWELL, T. (1925) [16408] ( used host: Raja maculata)",Narcine maculata,Acanthobothrium dujardinii,16408
"JENSEN, K. et.al. (2011) [13499] (used parasite: Sesquipedalapex comicus )",Narcine maculata,Anteropora comicus,13499
"JENSEN, K. et.al. (2016) [23959]",Narcine maculata,Anteropora comicus,23959
"JENSEN, K. et.al. (2011) [13499]",Narcine maculata,Anteropora klosmamorphis,13499
"JENSEN, K. et.al. (2016) [23959]",Narcine maculata,Anteropora klosmamorphis,23959
"PALM, H.W. (2004) [16112]",Narcine maculata,Grillotia erinaceus,16112
"SOUTHWELL, T. (1925) [16408] ( used host: Raja maculata)",Narcine maculata,Onchobothrium pseudouncinatum,16408
"BAER, J.G. et.al. (1962) [17089] ( used host: Raja maculata)",Narcine maculata,Onchobothrium pseudouncinatum,17089
"SPROSTON, N.G. et.al. (1941) [23942] ( used host: Raja maculata)",Narcine maculata,Trebius caudatus,23942
"SOUTHWELL, T. (1927) [16410]",Narcine timlei,Acanthobothrium coronatum,16410
"WILLIAMS, H.H. (1969) [16448]",Narcine timlei,Acanthobothrium coronatum,16448
"SOUTHWELL, T. (1927) [16410]",Narcine timlei,Acanthobothrium ijimai,16410
"WILLIAMS, H.H. (1969) [16448]",Narcine timlei,Acanthobothrium ijimai,16448
"WILLIAMS, H.H. (1969) [16448]",Narcine timlei,Acanthobothrium sp,16448
"SUBHAPRADHA, C.K. (1955) [16423]",Narcine timlei,Anteropora indica,16423
"JENSEN, K. (2005) [16338]",Narcine timlei,Anteropora indica,16338
"CROWCROFT, P.W. (1946) [15855] ( used host: Narcine tasmaniensis)",Narcinops tasmaniensis,Anthobothrium hickmani,15855
"TANG, D. et.al. (2005) [16593] ( used host: Narcine westraliensis)",Narcinops westraliensis,Caudacanthus narcini,16593
"SCHAEFFNER, B.C. et.al. (2019) [27172]",Narke capensis,Trypanosoma sp,27172
"VAUGHAN, D.B. et.al. (2016) [24521]",Narke capensis,Electrocotyle whittingtoni,24521
"YAMAGUTI, S. (1952) [16129]",Narke japonica,Acanthobothrium gracile,16129
"GOLDSTEIN, R.J. (1967) [16175]",Narke japonica,Acanthobothrium gracile,16175
"WILLIAMS, H.H. (1969) [16448]",Narke japonica,Acanthobothrium gracile,16448
"ZARAGOZA-TAPIA, F. et.al. (2020) [28741]",Narke japonica,Acanthobothrium gracile,28741
"YAMAGUTI, S. (1934) [16458] (used parasite: Discobothrium japonicum )",Narke japonica,Anteropora japonica,16458
"YAMAGUTI, S. (1952) [16129] (used parasite: Discobothrium japonicum )",Narke japonica,Anteropora japonica,16129
"JENSEN, K. (2005) [16338]",Narke japonica,Anteropora japonica,16338
"TIAN, H.-M. et.al. (2008) [24952]",Narke japonica,Anteropora japonica,24952
"GUYER, R.R. et.al. (2020) [28886]",Narke japonica,Anteropora japonica,28886
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Callitetrarhynchus gracilis,16112
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Dollfusiella sp,16112
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Heteronybelinia perideraeus,16112
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Kotorella pronosoma,16112
"PALM, H.W. et.al. (1999) [17850] (used parasite: Nybelinia southwelli | used host: Ginglymostoma concolor)",Nebrius ferrugineus,Mixonybelinia southwelli,17850
"PALM, H.W. (2004) [16112]",Nebrius ferrugineus,Mixonybelinia southwelli,16112
"SOUTHWELL, T. (1911) [17129] (used parasite: Phyllobothroides hutsoni | used host: Ginglymostoma concolor)",Nebrius ferrugineus,Pachybothrium hutsoni,17129
"SOUTHWELL, T. (1925) [16408] (used parasite: Pedibothrium hutsoni | used host: Ginglymostoma concolor)",Nebrius ferrugineus,Pachybothrium hutsoni,16408
